2020-05-21 20:20:39 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:20:41 INFO  Launcher:81 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 1 chiffre en 4 essais. 

2020-05-21 20:20:51 ERROR Launcher:113 - Erreur de saisie, recommence

2020-05-21 20:21:04 INFO  Launcher:18 - Le nombre de combinaison est 2
2020-05-21 20:21:04 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:21:04 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:21:09 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 2 chiffres en 4 essais. 

2020-05-21 20:24:12 INFO  Launcher:18 - Le nombre de combinaison est 1
2020-05-21 20:24:12 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:24:12 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:24:20 INFO  Launcher:81 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 1 chiffre en 4 essais. 

2020-05-21 20:24:50 INFO  Launcher:81 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 1 chiffre en 4 essais. 

2020-05-21 20:34:52 INFO  Launcher:18 - Le nombre de combinaison est 1
2020-05-21 20:34:52 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:34:52 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:35:00 INFO  Launcher:81 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 1 chiffre en 4 essais. 

2020-05-21 20:35:24 INFO  Launcher:18 - Le nombre de combinaison est 1
2020-05-21 20:35:24 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:35:24 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:35:26 INFO  Launcher:81 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 1 chiffre en 4 essais. 

2020-05-21 20:35:51 INFO  Launcher:18 - Le nombre de combinaison est 3
2020-05-21 20:35:51 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:35:51 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:35:54 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 3 chiffres en 4 essais. 

2020-05-21 20:36:01 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 3 chiffres en 4 essais. 

2020-05-21 20:36:10 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 3 chiffres en 4 essais. 

2020-05-21 20:37:07 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 20:37:07 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:37:07 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:37:14 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 20:37:19 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 20:42:34 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 20:42:34 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:42:34 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:42:38 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 20:43:04 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 20:43:04 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:43:04 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:43:14 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 20:43:41 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 20:43:41 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:43:41 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:43:42 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 20:43:46 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 20:44:11 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 20:44:11 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:44:11 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:44:30 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 20:44:30 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:44:30 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:44:32 INFO  Launcher:112 - Vous avez choisi le mode Duel, le premier entre l'IA ou le joueur qui trouve la combinaison de 4 chiffres a gagné. 
2020-05-21 20:44:38 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 20:44:38 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:44:38 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:44:41 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 20:46:13 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 20:46:13 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:46:13 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:46:15 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 20:49:10 INFO  Launcher:18 - Le nombre de combinaison est 2
2020-05-21 20:49:10 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 20:49:10 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 20:49:12 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 2 chiffres en 4 essais. 

2020-05-21 21:01:15 INFO  Launcher:18 - Le nombre de combinaison est 2
2020-05-21 21:01:15 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 21:01:15 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 21:01:22 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 2 chiffres en 4 essais. 

2020-05-21 21:01:48 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 21:01:48 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 21:01:48 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 21:01:53 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 21:25:34 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 21:25:34 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 21:25:34 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 21:25:38 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 21:28:46 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 21:28:46 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 21:28:46 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 21:28:48 INFO  Launcher:66 - Vous avez choisi le mode challenger, vous allez devoir deviner la combinaison de l IA de 4 chiffres en 4 essais. 

2020-05-21 21:33:14 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 21:33:14 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 21:33:14 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 21:33:17 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 21:37:10 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 21:37:10 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 21:37:10 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 21:37:13 INFO  Launcher:66 - Vous avez choisi le mode challenger, vous allez devoir deviner la combinaison de l IA de 4 chiffres en 4 essais. 

2020-05-21 22:42:17 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 22:42:17 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 22:42:17 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 22:42:23 INFO  Launcher:89 - Vous avez choisi le mode Defenseur, l'IA doit deviner votre combinaison secrète de 4 chiffres en 4 essais. 

2020-05-21 23:00:14 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 23:00:14 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 23:00:14 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 23:00:33 INFO  Launcher:67 - Vous avez choisi le mode challenger, vous allez devoir deviner la combinaison de l IA de 4 chiffres en 4 essais. 

2020-05-21 23:07:24 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 23:07:24 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 23:07:24 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 23:11:49 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 23:11:49 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 23:11:49 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 23:11:52 INFO  Launcher:67 - Vous avez choisi le mode challenger, vous allez devoir deviner la combinaison de l IA de 4 chiffres en 4 essais. 

2020-05-21 23:19:27 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 23:19:27 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 23:19:27 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 23:19:39 INFO  Launcher:66 - Vous avez choisi le mode challenger, vous allez devoir deviner la combinaison de l IA de 4 chiffres en 4 essais. 

2020-05-21 23:25:44 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 23:25:44 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 23:25:44 INFO  Launcher:20 - Activation du mode developpeur: true

2020-05-21 23:25:48 INFO  Launcher:112 - Vous avez choisi le mode Duel, le premier entre l'IA ou le joueur qui trouve la combinaison de 4 chiffres a gagn�. 
2020-05-21 23:30:32 INFO  Launcher:18 - Le nombre de combinaison est 4
2020-05-21 23:30:32 INFO  Launcher:19 - Le nombre d'essais est 4
2020-05-21 23:30:32 INFO  Launcher:20 - Activation du mode developpeur: true

